Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
22,Shaq Thompson,2,0,0,0,5,6.5,0,0,2023,29,CAR,2,2,0,0,0,,0,0,,0,0,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,5,4,80,32,8,6.4,0,93.3,3.6,12,20,3,1,0,0,1,2,20,0,0,69,6.5,5,1.1,LB
23,Luiji Vilain,2,0,0,0,0,0,0,0,2023,25,"CAR,MIN",2,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,18,2.1,LB
24,Tariq Carpenter,3,0,0,0,0,0,0,0,2023,25,PIT,3,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7.5,LB
25,Melvin Ingram,3,1.5,0,0,1,8.6,0,0,2023,34,MIA,3,0,0,0,0,,0,0,,0,0,0,1.5,6,1,7,1,2,0,0,0,0,0,0,0,0,0,1,1,100,26,26,26,0,118.7,21,21,5,1,1,0,0,3,1,12.5,0,0,95,8.6,0,0,LB
26,Myles Jack,3,1,0,0,11,11.6,0,0,2023,28,PIT,3,1,0,0,0,,0,0,,0,0,0,1,12,5,17,1,2,0,0,0,0,0,0,0,0,0,11,8,72.7,93,11.6,8.5,0,97.9,5.4,54,39,5,0,1,0,2,2,10.5,0,0,131,11.6,9,2,LB
27,Malik Jefferson,3,0,0,0,0,0.6,0,0,2023,27,DAL,3,0,0,0,0,,0,0,,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,25,0,0,6,0.6,61,13.8,LB
28,Tyreek Maddox-Williams,3,0,0,0,0,0.5,0,0,2023,26,ARI,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,,0,0,5,0.5,30,6.8,LB
29,Caleb Murphy,3,0,0,0,0,0.3,0,0,2023,24,TEN,3,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,4,0.3,40,8.8,OLB
30,David Ojabo,3,1,0,0,0,7.2,0,0,2023,23,BAL,3,1,0,0,0,,0,0,,0,0,0,1,5,1,6,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,1,0,0,2,1,14.3,0,0,83,7.2,0,0,OLB
31,Curtis Robinson,3,0,0,0,0,0.3,0,0,2023,25,SFO,3,0,0,0,0,,0,0,,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0.3,54,12.4,LB
32,Josh Ross,3,0,0,0,0,0,0,0,2023,24,BAL,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,69,14.6,LB
33,Tyreke Smith,3,0,0,0,0,0.8,0,0,2023,23,"ARI,SEA",3,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,19,0.8,5,0.6,LB
