,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Eric Banks,1,0,0,0,0,1.3,0,0,2022,24,ARI,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,14,1.3,6,1.3,DE
2,Derek Barnett,1,0,0,0,0,1.1,0,0,2022,26,PHI,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,12,1.1,2,0.4,DE
3,William Bradley-King,1,0,0,0,0,2.3,0,0,2022,25,WAS,1,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,24,2.3,1,0.2,DE
4,Josiah Bronson,1,0,0,0,0,0.4,0,0,2022,25,MIA,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,5,0.4,0,0,DT
5,Vernon Butler,1,0,0,0,0,1.1,0,0,2022,28,NYG,1,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,12,1.1,0,0,DT
6,Gerri Green,1,0,0,0,0,0.4,0,0,2022,27,CHI,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,4,0.4,0,0,DE
7,Da'Shawn Hand,1,0,0,0,0,0.2,0,0,2022,27,TEN,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,2,0.2,0,0,DE
8,Jack Heflin,1,0,0,0,0,2,0,0,2022,24,NYG,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,23,2,0,0,DT
9,Jalyn Holmes,1,0,0,0,0,3.1,0,0,2022,26,CHI,1,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,34,3.1,0,0,DE
10,Donovan Jeter,1,0,0,0,0,1.7,0,0,2022,24,WAS,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,18,1.7,7,1.5,DT
11,Kobe Jones,1,0,0,0,0,1,0,0,2022,24,CAR,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,11,1,0,0,DE
12,Jeremiah Ledbetter,1,0,0,0,0,0.9,0,0,2022,28,JAX,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,,0,0,11,0.9,0,0,DE
13,Mike Love,1,0,0,0,0,1.9,0,0,2022,28,BUF,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,20,1.9,9,2.2,DE
14,Phidarian Mathis,1,0,0,0,0,0.3,0,0,2022,24,WAS,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,3,0.3,1,0.2,DT
15,Rayshad Nichols,1,0,0,0,0,1.4,0,0,2022,23,BAL,1,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,15,1.4,0,0,DT
16,Jayden Peevy,1,0,0,0,0,2.3,0,0,2022,23,TEN,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,27,2.3,0,0,DT
