,,,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,Kick Returns,,,,Punt Returns,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
68,Cam Lampkin,4,0,0,0,0,0,0,0,0,0,2024,23,LAR,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,31,7,DB
69,Ty Okada,4,0,0,0,2.9,0,0,0,0,0,2024,25,SEA,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,33,2.9,23,4.9,FS
70,Asante Samuel Jr.,4,0,0,18,21.4,0,0,0,0,0,2024,25,LAC,4,4,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,11,2,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,12,66.7,138,11.5,7.7,0,89.6,7.6,84,54,0,0,0,0,0,3,18.8,0,0,234,21.4,17,3.7,CB
71,Greg Stroman,4,0,0,12,11.9,0,0,0,0,0,2024,28,NYG,4,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,75,115,12.8,9.6,1,132.3,10.3,66,49,3,1,0,0,1,2,16.7,0,0,130,11.9,17,3.8,CB
72,Russ Yeast,4,0,0,1,0.6,0,0,0,0,0,2024,25,"CAR,HOU,LAR",4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,49,49,49,1,158.3,44,44,5,0,0,0,0,0,0,0,0,0,21,0.6,39,2.8,S
73,Kris Abrams-Draine,5,0,0,16,10.6,0,1,0,0,0,2024,23,DEN,5,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,4,9,0,0,1,17,0,2,0,0,0,0,0,0,0,0,17,0,16,7,43.8,85,12.1,5.3,0,34.6,12.4,63,22,0,0,0,0,0,0,0,0,0,123,10.6,36,7.6,CB
74,Jamal Adams,5,0,0,3,1.9,0,0,0,0,0,2024,29,"DET,TEN",5,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,38,12.7,12.7,0,118.7,0.7,2,36,4,0,0,0,0,2,22.2,0,0,40,1.9,3,0.3,DB
75,Shemar Bartholomew,5,0,0,6,1.4,0,0,0,0,0,2024,24,CAR,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,3,50,26,8.7,4.3,1,101.4,10.5,26,0,0,0,0,0,0,0,0,0,0,17,1.4,34,7.1,CB
76,Ethan Bonner,5,0,0,2,1.5,0,0,0,0,0,2024,25,MIA,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,4,4,2,0,56.2,10.5,4,0,1,0,0,0,0,0,0,0,0,16,1.5,78,17.6,CB
77,Jaquan Brisker,5,1,0,12,27.5,0,1,0,0,0,2024,25,CHI,5,5,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,23,17,40,3,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,12,9,75,120,13.3,10,0,71.5,9.8,81,39,3,0,0,0,1,3,7,0,0,294,27.5,21,4.8,DB
78,Kendell Brooks,5,0,0,0,0,0,0,0,0,0,2024,24,TEN,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13.6,S
79,Josh Butler,5,1,0,22,14.5,0,0,0,0,0,2024,28,DAL,5,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,17,4,21,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,15,68.2,222,14.8,10.1,1,116.1,12,129,93,0,0,0,0,1,1,4.5,0,0,160,14.5,23,4.8,CB
80,Adrian Colbert,5,0,0,0,0,0,0,0,0,0,2024,31,CHI,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,62,14.2,DB
81,Blake Ferguson,5,0,0,0,0,1,0,0,0,0,2024,27,MIA,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,1,0,-8,0,0,0,0,0,-8,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8.6,LS
82,Tre Flowers,5,0,0,3,0.7,0,0,0,0,0,2024,29,"IND,JAX",5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,25,8.3,8.3,0,101.4,4.7,14,11,1,0,0,0,0,1,20,0,0,16,0.7,23,2.5,CB
83,Daxton Hill,5,1,0,20,23.2,0,0,0,0,0,2024,24,CIN,5,5,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,20,5,25,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,13,65,125,9.6,6.3,1,99,8.3,83,42,2,0,0,0,1,4,13.8,0,0,264,23.2,20,4.3,CB
84,Charley Hughlett,5,0,0,0,0,0,0,0,0,0,2024,34,CLE,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9.2,LS
85,Keenan Isaac,5,0,0,0,0,0,0,0,0,0,2024,24,TAM,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,,0,0,0,0,37,7.7,CB
86,Dwight McGlothern,5,0,0,3,1.7,0,0,0,0,0,2024,22,MIN,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,33.3,9,9,3,0,42.4,7.7,4,5,0,0,0,0,0,0,,0,0,19,1.7,17,3.8,CB
87,Jarius Monroe,5,0,0,2,1.5,0,0,0,0,0,2024,24,NYJ,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,,7,0,56.2,11.5,14,0,0,0,0,0,0,0,0,0,0,17,1.5,58,13.4,S
88,Jerrick Reed,5,0,0,0,0.4,0,0,0,0,0,2024,24,SEA,5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,5,0.4,80,17,FS
89,L'Jarius Sneed,5,0,0,24,28.5,0,0,0,0,0,2024,27,TEN,5,5,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,19,4,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,54.2,177,13.6,7.4,1,91.8,13.1,126,51,1,0,0,0,0,4,14.8,0,0,301,28.5,2,0.4,CB
90,Divaad Wilson,5,0,0,4,1.2,0,0,0,0,0,2024,24,"ARI,NYG",5,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,75,34,11.3,8.5,0,100,7.5,21,13,1,0,0,0,0,0,0,0,0,26,1.2,33,3.8,CB
91,Micah Abernathy,6,0,0,0,0,0,0,0,0,0,2024,27,ATL,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,24.7,S
92,Dicaprio Bootle,6,0,0,1,0.4,0,0,0,0,0,2024,27,LAC,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,5,5,6,0,0,0,0,0,1,25,0,0,4,0.4,85,18.4,CB
93,Tony Brown,6,0,0,0,0,0,0,0,0,0,2024,29,CLE,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,136,29.2,DB
94,Caelen Carson,6,0,0,33,22.8,0,0,0,0,0,2024,22,DAL,6,5,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,24,3,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,33,25,75.8,360,14.4,10.9,1,120.8,10.6,208,152,0,0,0,0,0,5,15.6,0,0,252,22.8,11,2.3,CB
95,Terrell Edmunds,6,0,0,6,3,0,0,0,0,0,2024,27,"JAX,PIT",6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,50,50,16.7,8.3,0,78.5,6.3,41,9,3,0,0,0,0,0,0,0,0,69,3,82,9.1,S
96,Dallis Flowers,6,0,0,7,3.9,0,0,30,0,0,2024,27,"IND,TAM",6,0,0,0,0,,0,0,,0,0,0,1,30,30,0,0,0,,0,0,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,7,7,100,125,17.9,17.9,1,158.3,7.7,54,71,0,0,0,0,0,3,25,0,0,89,3.9,25,2.6,CB
97,Kemon Hall,6,0,0,0,0,0,0,0,0,0,2024,27,DAL,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,124,25.6,CB
98,Patrick McMorris,6,0,0,0,0.8,0,0,0,0,0,2024,23,MIA,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,8,0.8,97,21.8,S
99,Jeff Okudah,6,0,0,11,7,0,0,0,0,0,2024,25,HOU,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,8,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,72.7,126,15.8,11.5,1,140.7,10.1,50,76,0,0,0,0,0,1,10,0,0,77,7,74,15.5,CB
100,Jabrill Peppers,6,0,0,14,33.3,0,1,0,0,0,2024,29,NWE,6,6,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,20,20,40,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,14,8,57.1,105,13.1,7.5,0,51.2,9.7,61,44,10,1,0,0,1,2,4.8,0,0,372,33.3,15,3.4,S
101,Jammie Robinson,6,0,0,1,0.9,0,0,0,0,0,2024,23,CAR,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,9,9,9,0,104.2,-1,-1,10,1,0,0,0,0,0,0,0,0,11,0.9,97,20.3,S
102,Kendall Sheffield,6,0,0,12,8,0,0,0,0,0,2024,28,NYJ,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,41.7,46,9.2,3.8,1,80.6,9.2,23,23,1,0,0,0,0,3,25,0,0,92,8,48,11.1,CB
103,Cam Smith,6,0,0,20,12.5,0,0,0,0,0,2024,24,MIA,6,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,13,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75,169,11.3,8.5,0,99.8,9.5,132,37,1,0,0,0,0,0,0,0,0,133,12.5,55,12.4,CB
104,Cory Trice,6,0,0,22,17.7,0,1,0,0,0,2024,24,PIT,6,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,15,6,21,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,22,17,77.3,163,9.6,7.4,1,93.6,6,115,48,0,0,0,0,0,1,4.5,0,0,193,17.7,60,13.1,CB
105,Jaylen Watson,6,0,0,30,31.5,0,0,0,0,0,2024,26,KAN,6,6,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,21,11,32,0,0,0,12,0,6,0,0,0,0,0,0,0,0,12,0,30,16,53.3,208,13,6.9,0,75.4,11,112,96,4,0,0,0,0,6,15.8,0,0,341,31.5,32,7.4,RCB
106,Paulson Adebo,7,0,0,65,37.2,0,3,0,0,0,2024,25,NOR,7,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,43,9,52,1,1,3,68,0,10,0,0,0,0,0,0,0,0,68,0,65,39,60,529,13.6,8.1,1,71.9,11.2,299,230,1,0,1,0,1,4,7.1,0,0,438,37.2,0,0,CB
107,Jaire Alexander,7,0,0,30,33.1,0,2,0,0,0,2024,27,GNB,7,7,1,0,0,,0,0,,0,0,6,0,0,,0,0,0,,0,0,15,1,16,0,0,2,52,1,7,0,1,0,0,0,0,0,0,52,0,30,17,56.7,231,13.6,7.7,3,86.9,9.8,143,88,0,0,0,0,0,2,11.1,0,0,361,33.1,14,3.2,CB
108,Jalyn Armour-Davis,7,0,0,13,8.3,0,0,0,0,0,2024,25,BAL,7,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,9,69.2,94,10.4,7.2,1,115.5,6.9,56,38,0,0,0,0,0,1,11.1,0,0,94,8.3,135,28.4,CB
109,Jarrick Bernard-Converse,7,0,0,0,0.5,0,0,0,0,0,2024,24,NYJ,7,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,6,0.5,111,25.7,CB
110,DaRon Bland,7,0,0,51,39.5,0,0,0,0,0,2024,25,DAL,7,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,29,12,41,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,51,31,60.8,328,10.6,6.4,4,105.7,10.6,249,79,0,0,0,0,0,2,4.7,0,0,436,39.5,0,0,CB
111,Andrew Booth,7,0,0,15,10.7,0,0,0,0,0,2024,24,DAL,7,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,10,5,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,12,80,193,16.1,12.9,2,158.3,9.8,132,61,0,0,0,0,0,0,0,0,0,118,10.7,50,10.3,CB
112,Talanoa Hufanga,7,0,0,13,28.9,0,0,0,0,0,2024,25,SFO,7,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,20,18,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,92.3,162,13.5,12.5,0,118.6,7.2,82,80,2,0,0,0,0,5,11.6,0,0,308,28.9,33,7.3,S
113,Jake McQuaide,7,0,0,0,0,0,0,0,0,0,2024,37,"MIA,MIN",7,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,60,6.7,LS
114,Fabian Moreau,7,0,0,10,9,0,0,0,0,0,2024,30,MIN,7,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,6,60,66,11,6.6,2,119.2,11.1,52,14,0,0,0,0,0,0,0,0,0,102,9,56,12.4,CB
115,Amani Oruwariye,7,0,0,32,25.9,1,1,0,0,0,2024,28,DAL,7,4,0,0,0,,0,0,,0,0,0,0,0,,0,1,0,0,0,0,23,6,29,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,32,24,75,361,15,11.3,2,119.4,12.8,228,133,0,0,0,0,0,3,9.4,0,0,286,25.9,29,6,CB
116,Eli Ricks,7,0,0,1,1.3,0,0,0,0,0,2024,23,PHI,7,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,45,45,45,1,158.3,30,30,15,0,0,0,0,0,0,0,0,0,14,1.3,51,11.4,CB
117,Loren Strickland,7,0,0,1,0,0,0,0,0,0,2024,24,DET,7,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,79.2,0,0,0,0,0,0,0,0,0,,0,0,0,0,78,16.9,S
118,T.J. Tampa,7,0,0,1,1.6,0,0,0,0,0,2024,22,BAL,7,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,4,4,4,0,83.3,4,4,0,0,0,0,0,0,1,20,0,0,18,1.6,138,29.1,CB
119,Chidobe Awuzie,8,0,0,26,35.3,0,1,0,0,0,2024,29,TEN,8,7,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,17,9,26,0,0,1,8,0,4,0,0,0,0,1,0,0,0,8,0,26,15,57.7,187,12.5,7.2,2,89.7,10.1,156,31,0,0,0,0,0,0,0,0,0,373,35.3,4,0.9,CB
120,Trevor Denbow,8,0,0,0,0,0,0,0,0,0,2024,26,IND,8,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,141,30.1,S
121,Quandre Diggs,8,0,0,19,39.6,0,0,0,0,0,2024,31,TEN,8,8,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,35,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,73.7,176,12.6,9.3,2,137.2,11.9,82,94,2,0,0,0,0,2,4.5,0,0,419,39.6,1,0.2,SS
122,Mike Edwards,8,0,0,8,8.6,0,0,0,0,0,2024,28,"BUF,TAM",8,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,7,5,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,50,52,13,6.5,0,70.8,14,39,13,6,1,1,0,2,0,0,0,0,191,8.6,16,1.7,S
123,Emmanuel Forbes,8,0,0,13,7.3,0,1,0,0,0,2024,23,"LAR,WAS",8,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,6,12,0,0,1,19,0,2,0,0,0,0,0,0,0,0,19,0,13,9,69.2,113,12.6,8.7,0,63.9,13.8,77,36,0,0,0,0,0,5,29.4,0,0,161,7.3,14,1.5,CB
124,Troy Hill,8,0,0,17,10.1,0,0,0,0,0,2024,33,"CAR,TAM",8,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,20,12,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,15,88.2,135,9,7.9,1,119.4,5.2,71,64,6,0,0,0,0,5,13.5,0,0,236,10.1,7,0.7,CB
125,Tony Jefferson,8,0,0,14,20.5,0,0,0,0,0,2024,32,LAC,8,4,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,17,10,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,92.9,117,9,8.4,1,125.3,5.7,49,68,1,0,0,0,0,2,6.9,0,0,224,20.5,45,9.7,S
126,Jaylon Jones,8,0,0,10,7.1,0,0,0,0,0,2024,27,CHI,8,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,13,2,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,7,70,76,10.9,7.6,0,92.1,7.8,63,13,0,0,0,0,0,0,0,0,0,76,7.1,140,32,DB
127,Ennis Rakestraw,8,0,0,6,4.2,0,0,0,0,0,2024,22,DET,8,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,66.7,53,13.3,8.8,0,94.4,14,37,16,0,0,0,0,0,0,0,0,0,46,4.2,95,20.6,CB
128,Andrew Wingard,8,0,0,8,18,0,0,0,0,0,2024,28,JAX,8,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,8,7,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,4,50,34,8.5,4.3,0,61.5,10.4,25,9,2,1,0,0,1,1,6.3,0,0,215,18,138,31.2,S
129,Alex Austin,9,0,0,22,20.9,0,0,0,0,0,2024,23,NWE,9,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,8,1,9,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,10,45.5,93,9.3,4.2,2,87.9,13.1,56,37,0,0,0,0,0,2,18.2,0,0,234,20.9,78,17.8,CB
130,Tre Avery,9,0,0,0,0.2,0,0,0,0,0,2024,27,TEN,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,2,0.2,101,22.1,CB
131,Markquese Bell,9,0,0,0,3.1,0,0,0,0,0,2024,25,DAL,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,34,3.1,168,34.7,S
132,Natrone Brooks,9,0,0,6,3.6,0,0,22,0,0,2024,25,ATL,9,0,0,0,0,,0,0,,0,0,0,1,22,22,0,0,0,,0,0,4,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,22,22,6,4,66.7,32,8,5.3,0,79.9,2.8,13,19,2,0,1,0,1,0,0,0,0,40,3.6,160,35.9,CB
133,Akayleb Evans,9,0,0,7,1.4,0,0,0,0,0,2024,25,"CAR,MIN",9,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,4,57.1,43,10.8,6.1,0,75.3,9.4,25,18,0,0,0,0,0,3,37.5,0,0,32,1.4,88,9.5,CB
134,Caleb Farley,9,0,0,13,13.9,0,0,0,0,0,2024,26,CAR,9,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,11,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,84.6,88,8,6.8,3,134.5,6.2,56,32,3,0,0,0,0,3,15,0,0,169,13.9,55,11.5,CB
135,Jordan Fuller,9,0,0,15,47.2,0,0,0,0,0,2024,26,CAR,9,9,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,28,26,54,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,12,80,161,13.4,10.7,2,151,6.6,84,77,3,0,0,0,0,6,10,0,0,575,47.2,0,0,SS
136,Tashaun Gipson,9,0,0,2,5.3,0,0,0,0,0,2024,34,SFO,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,50,14,14,7,0,72.9,6.5,13,1,0,0,0,0,0,0,0,0,0,57,5.3,56,12.4,S
137,Art Green,9,0,0,4,4.2,0,0,0,0,0,2024,24,NYG,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,75,40,13.3,10,0,106.2,12.5,33,7,1,1,0,0,1,1,12.5,0,0,46,4.2,207,46.7,CB
138,Justin Hardee,9,0,0,0,0,0,0,0,0,0,2024,30,TEN,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,185,40.6,CB
139,Dane Jackson,9,0,0,29,23,0,0,0,0,0,2024,28,CAR,9,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,15,8,23,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,22,75.9,246,11.2,8.5,2,123.6,6.9,134,112,9,0,0,0,0,7,23.3,0,0,280,23,9,1.9,CB
140,Shemar Jean-Charles,9,0,0,12,12.1,0,1,0,0,0,2024,26,NOR,9,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,8,14,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,12,7,58.3,109,15.6,9.1,1,81.6,17.9,99,10,0,0,0,0,0,1,6.7,0,0,143,12.1,46,10,DB
141,Anthony Johnson,9,0,0,1,1.9,0,0,0,0,0,2024,25,NYG,9,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,5,0,0,1,0,0,1,0,0,0,0,0,21,1.9,113,25.5,S
142,Marshon Lattimore,9,0,0,32,23.4,0,0,0,0,0,2024,28,"NOR,WAS",9,9,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,25,9,34,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,32,17,53.1,182,10.7,5.7,1,80.5,10.2,91,91,3,1,0,0,1,0,0,0,0,528,23.4,1,0.1,CB
143,Jalen Mills,9,0,0,23,39.9,0,1,0,0,0,2024,30,NYJ,9,8,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,17,27,44,1,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,23,11,47.8,154,14,6.7,0,51.7,14,87,67,5,0,0,0,0,8,15.4,0,0,458,39.9,12,2.8,S
