,,,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,Kick Returns,,,,Punt Returns,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
17,Reese Taylor,1,0,0,1,0,0,0,0,0,0,2024,25,DEN,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,20,0,0,0,0,0,0,0,0,,0,0,0,0,13,2.7,CB
18,Stantley Thomas-Oliver,1,0,0,0,0,0,0,0,0,0,2024,26,DET,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,5,1.1,CB
19,Nahshon Wright,1,0,0,0,0,0,0,0,0,0,2024,26,MIN,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,15,3.3,CB
20,Julius Brents,2,0,0,6,5.9,0,0,0,0,0,2024,24,IND,2,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,66.7,79,19.8,13.2,0,109.7,15.3,67,12,0,0,0,0,0,1,12.5,0,0,68,5.9,5,1.1,CB
21,Omar Brown,2,0,0,1,0.7,0,0,0,0,0,2024,24,GNB,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,7,0,0,0,0,0,0,0,0,,0,0,8,0.7,16,3.6,S
22,Deon Bush,2,0,0,1,0.9,0,0,0,0,0,2024,31,KAN,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,8,8,8,0,100,4,4,4,0,0,0,0,0,0,0,0,0,10,0.9,31,7.2,DB
23,Tariq Castro-Fields,2,0,0,0,0,0,0,0,0,0,2024,25,CAR,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,9,1.9,CB
24,Dane Cruikshank,2,0,0,0,0,0,0,0,0,0,2024,29,ATL,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,37,8.3,S
25,Jalen Davis,2,0,0,5,4.3,0,0,0,0,0,2024,28,CIN,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,60,29,9.7,5.8,0,76.2,16.4,24,5,3,0,0,0,0,1,25,0,0,49,4.3,28,6.1,CB
26,Chris Edmonds,2,0,0,0,0.3,0,0,0,0,0,2024,23,CLE,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,3,0.3,21,4.5,DB
