Rk,Player,G,TD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos
1,Jude McAtamney,1,0,2024,24,NYG,1,0,0,1,1,100,1,1,100,0,0,4,K
2,Matt Prater,4,0,2024,40,ARI,4,0,0,10,10,100,6,6,100,0,0,28,K
3,John Parker Romo,4,0,2024,27,MIN,4,0,0,7,8,87.5,11,12,91.7,0,0,40,K
4,Spencer Shrader,4,0,2024,25,"IND,KAN,NYJ",4,0,0,9,9,100,5,5,100,0,0,24,K
5,Riley Patterson,5,0,2024,25,"ATL,CLE,NYJ",5,0,0,16,16,100,4,7,57.1,0,0,28,K
6,Matthew Wright,5,0,2024,28,"KAN,TEN,SFO",5,0,0,6,6,100,15,16,93.8,0,0,51,K
7,Zane Gonzalez,6,0,2024,29,WAS,6,0,0,19,19,100,5,7,71.4,0,0,34,K
8,Cade York,6,0,2024,23,"CIN,WAS",6,0,0,16,17,94.1,9,13,69.2,0,0,43,K
9,Anders Carlson,7,0,2024,26,"NYJ,SFO",7,0,0,12,15,80,13,15,86.7,0,0,51,K
10,Brayden Narveson,7,0,2024,25,"GNB,TEN",7,0,0,18,18,100,12,18,66.7,0,0,54,K
11,Greg Joseph,8,0,2024,30,"NYG,NYJ,WAS",8,0,0,11,11,100,16,20,80,0,0,59,K
12,Greg Zuerlein,8,0,2024,37,NYJ,8,0,0,13,14,92.9,9,15,60,0,0,40,K
13,Austin Seibert,9,0,2024,28,WAS,9,0,0,22,24,91.7,27,30,90,0,0,103,K
14,Graham Gano,10,0,2024,37,NYG,10,0,0,15,15,100,9,11,81.8,0,0,42,K
15,Brandon McManus,11,0,2024,33,GNB,11,0,0,30,30,100,20,21,95.2,0,0,90,K
16,Evan McPherson,12,0,2024,25,CIN,12,0,0,37,38,97.4,16,22,72.7,0,0,85,K
17,Harrison Butker,13,0,2024,29,KAN,13,0,0,29,31,93.5,21,25,84,0,0,92,K
18,Will Reichard,13,0,2024,23,MIN,13,0,0,38,38,100,24,30,80,0,0,110,K
19,Chad Ryland,13,0,2024,25,ARI,13,0,0,26,27,96.3,28,32,87.5,0,0,110,K
20,Nick Folk,14,0,2024,40,TEN,14,0,0,25,25,100,21,22,95.5,0,0,88,K
21,Younghoe Koo,14,0,2024,30,ATL,14,0,0,26,26,100,25,34,73.5,0,0,101,K
22,Jake Moody,14,0,2024,25,SFO,14,0,0,32,33,97,24,34,70.6,0,0,104,K
23,Matt Gay,16,0,2024,30,IND,16,0,0,33,33,100,31,37,83.8,0,0,126,K
24,Dustin Hopkins,16,0,2024,34,CLE,16,0,0,17,20,85,18,27,66.7,0,0,71,K
25,Brandon Aubrey,17,0,2024,29,DAL,17,0,0,30,30,100,40,47,85.1,0,0,150,K
26,Tyler Bass,17,0,2024,27,BUF,17,0,0,59,64,92.2,24,29,82.8,0,0,131,K
27,Jake Bates,17,0,2024,25,DET,17,0,0,64,67,95.5,26,29,89.7,0,0,142,K
28,Chris Boswell,17,0,2024,33,PIT,17,0,0,35,35,100,41,44,93.2,0,0,158,K
29,Daniel Carlson,17,0,2024,29,LVR,17,0,0,23,25,92,34,40,85,0,0,125,K
30,Cameron Dicker,17,0,2024,24,LAC,17,0,0,33,36,91.7,39,42,92.9,0,0,150,K
31,Jake Elliott,17,0,2024,29,PHI,17,0,0,47,48,97.9,28,36,77.8,0,0,131,K
32,Ka'imi Fairbairn,17,0,2024,30,HOU,17,0,0,34,36,94.4,36,42,85.7,0,0,142,K
33,Blake Grupe,17,0,2024,26,NOR,17,0,0,31,33,93.9,27,31,87.1,0,0,112,K
34,Joshua Karty,17,0,2024,22,LAR,17,0,0,32,36,88.9,29,34,85.3,0,0,119,K
35,Cam Little,17,0,2024,21,JAX,17,0,0,27,27,100,27,29,93.1,0,0,108,K
36,Wil Lutz,17,0,2024,30,DEN,17,0,0,46,46,100,31,34,91.2,0,0,139,K
37,Chase McLaughlin,17,0,2024,28,TAM,17,0,0,54,56,96.4,30,32,93.8,0,0,144,K
38,Jason Myers,17,0,2024,33,SEA,17,0,0,37,40,92.5,26,30,86.7,0,0,115,K
39,Eddy Piñeiro,17,0,2024,29,CAR,17,0,0,33,35,94.3,22,26,84.6,0,0,99,K
40,Jason Sanders,17,0,2024,29,MIA,17,0,0,26,28,92.9,37,41,90.2,0,0,137,K
41,Cairo Santos,17,0,2024,33,CHI,17,0,0,25,26,96.2,21,25,84,0,0,88,K
42,Joey Slye,17,0,2024,28,NWE,17,0,0,25,26,96.2,26,33,78.8,0,0,103,K
43,Justin Tucker,17,0,2024,35,BAL,17,0,0,60,62,96.8,22,30,73.3,0,0,126,K
,,,,,,,,,,,,,,,,,,,
