Rk,Player,G,TD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos
1,Ramiz Ahmed,1,0,2022,27,GNB,1,0,0,0,0,,0,0,,0,0,0,K
2,Dominik Eberle,1,0,2022,26,DET,1,0,0,2,4,50,1,1,100,0,0,5,K
3,Josh Lambo,1,0,2022,32,TEN,1,0,0,3,4,75,0,0,,0,0,3,K
4,Nick Sciba,1,0,2022,23,PIT,1,0,0,1,1,100,2,2,100,0,0,7,K
5,Caleb Shudak,1,0,2022,25,TEN,1,0,0,1,1,100,3,4,75,0,0,10,K
6,Taylor Bertolet,2,0,2022,30,LAC,2,0,0,6,6,100,3,3,100,0,0,15,K
7,Rodrigo Blankenship,3,0,2022,25,"IND,ARI",3,0,0,4,5,80,4,5,80,0,0,16,K
8,Austin Seibert,3,0,2022,26,DET,3,0,0,12,12,100,3,5,60,0,0,21,K
9,Tristan Vizcaino,3,0,2022,26,"ARI,NWE",3,0,0,3,3,100,2,2,100,0,0,9,K
10,Matt Ammendola,4,0,2022,26,"ARI,KAN",4,0,0,5,7,71.4,5,7,71.4,0,0,20,K
11,Dustin Hopkins,5,0,2022,32,LAC,5,0,0,12,12,100,9,10,90,0,0,39,K
12,Matthew Wright,6,0,2022,26,"KAN,PIT",6,0,0,15,15,100,15,18,83.3,0,0,60,K
13,Cameron Dicker,11,0,2022,22,"PHI,LAC",11,0,0,24,24,100,21,22,95.5,0,0,87,K
14,Chris Boswell,12,0,2022,31,PIT,12,0,0,18,18,100,20,28,71.4,0,0,78,K
15,Michael Badgley,13,0,2022,27,"CHI,DET",13,0,0,33,33,100,24,28,85.7,0,0,105,K
16,Harrison Butker,13,0,2022,27,KAN,13,0,0,38,41,92.7,18,24,75,0,0,92,K
17,Matt Prater,13,0,2022,38,ARI,13,0,0,17,18,94.4,22,25,88,0,0,83,K
18,Randy Bullock,15,0,2022,33,TEN,15,0,0,28,28,100,17,20,85,0,0,79,K
19,Tyler Bass,16,0,2022,25,BUF,16,0,0,48,50,96,27,31,87.1,0,0,129,K
20,Jake Elliott,16,0,2022,27,PHI,16,0,0,51,53,96.2,20,23,87,0,0,111,K
21,Chase McLaughlin,16,0,2022,26,IND,16,0,0,21,21,100,30,36,83.3,0,0,111,K
22,Evan McPherson,16,0,2022,23,CIN,16,0,0,40,44,90.9,24,29,82.8,0,0,112,K
23,Cairo Santos,16,0,2022,31,CHI,16,0,0,27,32,84.4,21,23,91.3,0,0,90,K
24,Daniel Carlson,17,0,2022,27,LVR,17,0,0,35,36,97.2,34,37,91.9,0,0,137,K
25,Mason Crosby,17,0,2022,38,GNB,17,0,0,37,39,94.9,25,29,86.2,0,0,112,K
26,Ka'imi Fairbairn,17,0,2022,28,HOU,17,0,0,24,24,100,29,31,93.5,0,0,111,K
27,Nick Folk,17,0,2022,38,NWE,17,0,0,32,35,91.4,32,37,86.5,0,0,128,K
28,Graham Gano,17,0,2022,35,NYG,17,0,0,32,34,94.1,29,32,90.6,0,0,119,K
29,Matt Gay,17,0,2022,28,LAR,17,0,0,31,32,96.9,28,30,93.3,0,0,115,K
30,Robbie Gould,17,0,2022,40,SFO,17,0,0,50,51,98,27,32,84.4,0,0,131,K
31,Greg Joseph,17,0,2022,28,MIN,17,0,0,40,46,87,26,33,78.8,0,0,118,K
32,Younghoe Koo,17,0,2022,28,ATL,17,0,0,33,35,94.3,32,37,86.5,0,0,129,K
33,Wil Lutz,17,0,2022,28,NOR,17,0,0,33,33,100,23,31,74.2,0,0,102,K
34,Brett Maher,17,0,2022,33,DAL,17,0,0,50,53,94.3,29,32,90.6,0,0,137,K
35,Brandon McManus,17,0,2022,31,DEN,17,0,0,25,27,92.6,28,36,77.8,0,0,109,K
36,Jason Myers,17,0,2022,31,SEA,17,0,0,41,42,97.6,34,37,91.9,0,0,143,K
37,Riley Patterson,17,0,2022,23,JAX,17,0,0,36,37,97.3,30,35,85.7,0,0,126,K
38,Eddy Piñeiro,17,0,2022,27,CAR,17,0,0,30,32,93.8,33,35,94.3,0,0,129,K
39,Jason Sanders,17,0,2022,27,MIA,17,0,0,41,44,93.2,26,32,81.3,0,0,119,K
40,Joey Slye,17,0,2022,26,WAS,17,0,0,24,28,85.7,25,30,83.3,0,0,99,K
41,Ryan Succop,17,0,2022,36,TAM,17,0,0,24,25,96,31,38,81.6,0,0,117,K
42,Justin Tucker,17,0,2022,33,BAL,17,0,0,31,32,96.9,37,43,86,0,0,142,K
43,Cade York,17,0,2022,21,CLE,17,0,0,35,37,94.6,24,32,75,0,0,107,K
44,Greg Zuerlein,17,0,2022,35,NYJ,17,0,0,28,29,96.6,30,37,81.1,0,0,118,K
,,,,,,,,,,,,,,,,,,,
