,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
21,Zion Logue,2,0,0,0,0,3.3,0,0,2024,23,BUF,2,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,36,3.3,6,1.3,DT
22,Brodric Martin,2,0,0,0,0,2.3,0,0,2024,25,DET,2,1,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,25,2.3,0,0,DL
23,T.Y. McGill,2,0,0,0,0,1.1,0,0,2024,32,"CLE,SFO",2,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,23,1.1,0,0,DT
24,Levi Drake Rodriguez,2,0,0,0,1,0.5,0,0,2024,24,MIN,2,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,39.6,13,0,0,0,0,0,0,0,0,0,0,0,6,0.5,11,2.4,DL
25,Casey Rogers,2,0,0,0,0,3,0,0,2024,26,NYG,2,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,33,3,9,2,DL
26,Elerson Smith,2,0,0,0,0,1.8,0,0,2024,26,CLE,2,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,20,1.8,12,2.6,DE
27,Isaiah Thomas,2,0,0,0,0,4.2,0,0,2024,26,DET,2,0,0,0,0,,0,0,,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,25,0,0,46,4.2,0,0,DL
28,Marlon Tuipulotu,2,0,0,0,0,5.6,0,0,2024,25,KAN,2,1,0,0,0,,0,0,,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,61,5.6,7,1.6,DT
29,Isaac Ukwu,2,0,0,0,0,6.4,0,0,2024,25,DET,2,1,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,2,0,0,0,0,70,6.4,2,0.4,DL
30,Chris Wormley,2,0,0,0,0,2.9,0,0,2024,31,BAL,2,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0,1,20,0,0,33,2.9,8,1.7,DL
31,Alex Barrett,3,0,0,0,0,2.2,0,0,2024,30,SFO,3,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,1,33.3,0,0,24,2.2,64,14.2,DL
32,Earnest Brown IV,3,0,0,0,0,1.9,0,0,2024,25,TAM,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,21,1.9,0,0,DE
33,Andre Carter II,3,0.5,0,0,1,1.4,0,0,2024,24,LVR,3,0,0,0,0,,0,0,,0,0,0,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,-3,0,0,0,1,0,0,2,0,0,0,0,16,1.4,7,1.5,DE
34,Carl Davis,3,0,0,0,0,4,0,0,2024,32,WAS,3,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,43,4,15,3.2,DE
35,Joe Gaziano,3,0,0,0,0,3.2,0,0,2024,28,JAX,3,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,1,25,0,0,38,3.2,18,4.1,DE
36,Mike Greene,3,0,0,0,0,5.2,0,0,2024,25,TAM,3,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,58,5.2,2,0.4,DL
37,Javon Hargrave,3,1,0,0,0,9.7,0,0,2024,31,SFO,3,3,0,0,0,,0,0,,0,0,0,1,4,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,3,0,0,0,0,104,9.7,1,0.2,DL
38,James Houston,3,0,0,0,0,2.3,0,0,2024,26,CLE,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,25,2.3,11,2.4,DE
39,Justin Jones,3,0,0,0,1,9.2,0,0,2024,28,ARI,3,3,0,0,0,,0,0,,0,0,0,0,3,1,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,39.6,-8,0,0,0,0,1,0,1,1,20,0,0,100,9.2,7,1.6,DL
40,Tanoh Kpassagnon,3,0,0,0,1,6.2,0,0,2024,30,NOR,3,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,-6,-6,17,0,0,1,0,1,2,66.7,0,0,73,6.2,14,3.1,DE
41,Sam Roberts,3,0,0,0,0,2,0,0,2024,26,CAR,3,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,24,2,7,1.5,DT
42,T.J. Smith,3,0,0,0,0,4.5,0,0,2024,27,CAR,3,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,55,4.5,19,4,DT
43,Josh Tupou,3,1,0,0,0,5.4,0,0,2024,30,BAL,3,0,0,0,0,,0,0,,0,0,0,1,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,61,5.4,1,0.2,NT
44,Abdullah Anderson,4,0,0,0,0,3.6,0,0,2024,28,TEN,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,38,3.6,0,0,DL
45,Christian Barmore,4,1,0,0,1,11,0,0,2024,25,NWE,4,0,0,0,0,,0,0,,0,0,0,1,6,0,6,1,1,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,-1,-1,8,0,0,0,0,1,0,0,0,0,123,11,1,0.2,DT
46,Matt Dickerson,4,0,0,0,0,1.4,0,0,2024,29,MIA,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,15,1.4,1,0.2,DE
47,Cory Durden,4,0,0,0,0,7.7,0,0,2024,25,NYG,4,0,0,0,0,,0,0,,0,0,0,0,4,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,84,7.7,18,4.1,NT
48,Jonathan Ford,4,0,0,0,0,7.2,0,0,2024,25,CHI,4,0,0,0,0,,0,0,,0,0,0,0,3,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,77,7.2,0,0,DL
49,Lawrence Guy,4,0,0,0,0,8,0,0,2024,34,CIN,4,2,0,0,0,,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,33.3,0,0,91,8,24,5.2,DT
50,Charles Harris,4,0,0,0,0,5,0,0,2024,29,PHI,4,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,52,5,13,2.9,DE
51,K.J. Henry,4,1,0,0,0,2.3,0,0,2024,25,"CIN,DAL",4,0,0,0,0,,0,0,,0,0,0,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,51,2.3,22,2.3,DE
52,DeMarcus Lawrence,4,3,0,0,0,15.1,0,0,2024,32,DAL,4,4,0,0,0,,0,0,,0,0,0,3,7,7,14,4,5,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,4,3,0,10,3,17.6,0,0,167,15.1,0,0,DE
53,Esezi Otomewo,4,0.5,0,0,0,7.5,0,0,2024,26,JAX,4,2,0,0,0,,0,0,,0,0,0,0.5,0,4,4,0,2,0,0,0,0,0,1,0,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,3,0,0,0,0,90,7.5,43,9.7,DT
54,Jayden Peevy,4,1.5,0,0,0,6.9,0,0,2024,25,CAR,4,0,0,0,0,,0,0,,0,0,0,1.5,2,4,6,1,3,0,0,0,1,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,0,2,1,4,0,0,0,0,84,6.9,29,6.1,DT
55,Eyioma Uwazurike,4,0.5,0,0,0,5.5,0,0,2024,26,DEN,4,0,0,0,0,,0,0,,0,0,0,0.5,3,8,11,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,1,8.3,0,0,63,5.5,21,4.4,DL
56,Alex Wright,4,1,2,1,3,9.5,0,0,2024,24,CLE,4,0,0,0,0,,0,0,,0,1,2,1,5,3,8,1,1,0,0,0,0,0,0,0,0,0,3,2,66.7,22,11,7.3,0,88.2,-2,-6,28,0,0,0,0,1,1,11.1,0,0,103,9.5,17,3.7,DE
57,Jaden Crumedy,5,0.5,0,0,0,9.9,0,0,2024,24,CAR,5,0,0,0,0,,0,0,,0,0,0,0.5,4,9,13,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,1,7.1,0,0,121,9.9,27,5.6,DT
58,Jamin Davis,5,0,0,0,2,7.9,0,0,2024,26,WAS,5,0,0,0,0,,0,0,,0,0,0,0,8,5,13,1,0,0,0,0,0,0,0,0,0,0,2,2,100,13,6.5,6.5,0,93.7,4,8,5,1,0,0,0,0,0,0,0,0,86,7.9,15,3.2,DE
59,Justin Eboigbe,5,0,0,0,0,2.4,0,0,2024,23,LAC,5,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,26,2.4,27,5.8,DL
60,Elijah Garcia,5,0,0,0,0,13.1,0,0,2024,26,NYG,5,3,0,0,0,,0,0,,0,0,0,0,5,9,14,2,1,0,0,0,0,0,1,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,143,13.1,20,4.5,DL
61,Adam Gotsis,5,0,0,0,1,6.1,0,0,2024,32,IND,5,0,0,0,0,,0,0,,0,0,0,0,4,4,8,0,2,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,79.2,-6,-6,6,0,0,2,0,2,2,20,0,0,71,6.1,81,17.3,DT
62,Aidan Hutchinson,5,7.5,0,0,3,25.5,0,0,2024,24,DET,5,5,0,0,0,,0,0,,0,0,0,7.5,12,7,19,7,17,0,0,0,0,0,0,0,0,1,3,2,66.7,29,14.5,9.7,0,97.9,-0.7,1,28,2,10,9,0,27,2,9.5,0,0,280,25.5,3,0.7,DL
63,DeMarvin Leal,5,0,0,0,0,4.7,0,0,2024,24,PIT,5,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,2,1,1,0,2,0,0,0,0,51,4.7,26,5.7,DE
64,Kyle Peko,5,0,0,0,0,7.8,0,0,2024,31,DET,5,1,0,0,0,,0,0,,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,2,0,2,0,0,0,0,86,7.8,9,2,DL
65,Chris Smith,5,0,0,0,0,4.3,0,0,2024,25,DET,5,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,1,33.3,0,0,47,4.3,3,0.7,DL
66,Armon Watts,5,0,0,0,0,7.9,0,0,2024,28,NYG,5,0,0,0,0,,0,0,,0,0,0,0,3,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,2,0,0,0,0,87,7.9,8,1.8,DT
67,Christian Wilkins,5,2,0,0,1,22.2,0,0,2024,29,LVR,5,5,0,0,0,,0,0,,0,0,0,2,11,6,17,2,6,0,0,0,0,0,0,0,0,0,1,1,100,4,4,4,0,83.3,-7,-7,11,0,1,3,0,7,2,10.5,0,0,247,22.2,31,6.5,DT
68,Khristian Boyd,6,0,0,0,0,6.3,0,0,2024,24,NOR,6,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,74,6.3,0,0,DT
69,Jowon Briggs,6,0,0,0,1,12.3,0,0,2024,23,CLE,6,0,0,0,0,,0,0,,0,0,0,0,3,10,13,1,2,0,0,0,0,0,1,0,0,0,1,1,100,12,12,12,0,116.7,6,6,6,0,0,2,0,2,1,7.1,0,0,133,12.3,30,6.5,DT
70,Bruce Hector,6,1,0,0,0,10.3,0,0,2024,30,NYJ,6,0,0,0,0,,0,0,,0,0,0,1,4,6,10,3,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,118,10.3,13,3,DL
71,Bilal Nichols,6,0,0,0,0,16,0,0,2024,28,ARI,6,5,0,0,0,,0,0,,0,0,0,0,6,4,10,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,2,16.7,0,0,174,16,19,4.3,DL
