Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Joshuah Bledsoe,1,0,0,0,0,0,0,0,0,0,2023,25,NWE,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,3,0.7,S
2,Lance Boykin,1,0,0,0,0.2,0,0,0,0,0,2023,23,SEA,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,2,0.2,8,1.7,CB
3,Tay Gowan,1,0,0,1,0,0,0,0,0,0,2023,25,TEN,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,0.7,CB
4,Vincent Gray,1,0,0,7,4.1,0,0,0,0,0,2023,24,CLE,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,5,71.4,30,6,4.3,0,79.5,3.6,11,19,0,0,0,0,0,2,28.6,0,0,44,4.1,17,3.3,DB
5,Tayler Hawkins,1,0,0,3,6.1,0,1,0,0,0,2023,26,SFO,1,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,66.7,46,23,15.3,0,70.1,20.7,43,3,2,0,0,0,0,0,0,0,0,67,6.1,12,2.8,S
6,Tae Hayes,1,0,0,3,1.1,0,0,0,0,0,2023,26,NYJ,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,54,18,18,0,118.7,18,54,0,0,0,0,0,0,0,0,0,0,13,1.1,10,2.1,CB
7,Lamar Jackson,1,0,0,0,0,0,0,0,0,0,2023,25,CAR,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,11,2.5,CB
8,Emmanuel Moseley,1,0,0,0,0.2,0,0,0,0,0,2023,27,DET,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,2,0.2,0,0,CB
9,AJ Parker,1,0,0,3,3.3,0,0,0,0,0,2023,25,CAR,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.7,14,7,4.7,0,77.1,6.3,11,3,0,0,0,0,0,1,20,0,0,35,3.3,1,0.2,CB
10,Troy Pride Jr.,1,0,0,0,0,0,0,0,0,0,2023,25,LVR,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,1,0.2,CB
