,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
20,Jermaine Johnson II,2,0,0,0,1,7.1,0,0,2024,25,NYJ,2,2,0,0,0,,0,0,,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,-3,-3,10,4,1,0,0,1,1,20,0,0,82,7.1,11,2.5,LB
21,Deion Jones,2,0,0,0,0,0,0,0,2024,30,TAM,2,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.1,MLB
22,Khalid Kareem,2,0,0,0,0,2.9,0,0,2024,26,ATL,2,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,32,2.9,22,4.9,OLB
23,William Kwenkeu,2,0,0,0,0,0,0,0,2024,27,BAL,2,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6.9,LB
24,Blake Lynch,2,0,0,0,0,1.1,0,0,2024,27,"KAN,LAC",2,0,0,0,0,,0,0,,0,0,0,0,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,25,1.1,42,4.7,LB
25,Gabriel Murphy,2,0,0,0,0,3.1,0,0,2024,24,MIN,2,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,35,3.1,6,1.3,OLB
26,Benton Whitley,2,0,0,0,0,0.2,0,0,2024,25,NYG,2,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,2,0.2,42,9.5,OLB
27,Oshane Ximines,2,0,0,0,1,1.3,0,0,2024,28,NWE,2,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,3,3,3,0,79.2,0,0,3,0,0,0,0,0,1,50,0,0,14,1.3,29,6.6,OLB
28,Liam Anderson,3,0,0,0,0,0,0,0,2024,24,IND,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,40,8.5,LB
29,Keshawn Banks,3,0,0,0,0,0,0,0,2024,25,NWE,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,61,14,LB
30,Derrick Barnes,3,0,0,0,2,10.9,0,0,2024,25,DET,3,3,0,0,0,,0,0,,0,0,0,0,8,2,10,0,0,0,0,0,1,0,0,0,0,0,2,2,100,14,7,7,0,95.8,4.5,9,5,24,0,0,1,0,2,16.7,0,0,120,10.9,27,5.9,LB
31,Abraham Beauplan,3,0,0,0,0,0,0,0,2024,24,DET,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,100,0,0,0,0,46,10,LB
