,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Mackensie Alexander,1,0,0,0,1,1.2,0,0,2022,29,DAL,1,1,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,12,12,12,0,116.7,9,9,3,0,0,0,0,0,0,0,0,0,14,1.2,0,0,LB
2,Reggie Bonnafon,1,0,0,0,0,0,0,0,2022,26,WAS,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,3,0.3,0,0,0,0,LB
3,Cole Christiansen,1,0,0,0,0,0,0,0,2022,25,KAN,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.9,LB
4,Ryan Connelly,1,0,0,0,0,1.4,0,0,2022,27,MIN,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,16,1.4,13,2.6,LB
5,Joe Giles-Harris,1,0,0,0,0,0,0,0,2022,25,BUF,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.7,LB
6,Travin Howard,1,0,0,0,0,0,0,0,2022,26,LAR,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5.4,LB
7,Storey Jackson,1,0,0,0,0,0,0,0,2022,24,CLE,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,15,3.4,LB
8,Alexander Johnson,1,0,0,0,0,1.4,0,0,2022,31,SEA,1,0,0,0,0,,0,0,,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,16,1.4,17,3.6,LB
9,Keandre Jones,1,0,0,0,0,0,0,0,2022,25,CIN,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,16,3.7,LB
10,Kobe Jones,1,0,0,0,0,0.7,0,0,2022,24,GNB,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,7,0.7,7,1.6,LB
11,Sam Kamara,1,0,0,0,0,0.6,0,0,2022,25,CLE,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,7,0.6,1,0.2,LB
12,Cameron McGrone,1,0,0,0,0,0,0,0,2022,22,IND,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.1,LB
13,Calvin Munson,1,0,0,0,0,0,0,0,2022,28,NWE,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,14,3.1,LB
14,Josh Onujiogu,1,0,0,0,0,1,0,0,2022,24,SEA,1,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,11,1,6,1.3,LB
15,Brennan Scarlett,1,0,0,0,0,0,0,0,2022,29,MIA,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,14,3.1,LB
16,Julian Stanford,1,0,0,0,0,0,0,0,2022,32,BAL,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,17,3.9,LB
17,Chazz Surratt,1,0,0,0,0,0,0,0,2022,25,NYJ,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.4,LB
18,Brayden Thomas,1,0,0,0,0,0.4,0,0,2022,24,LAR,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,4,0.4,14,3.1,LB
19,Steven Means,2,0,0,0,0,2.7,0,0,2022,32,BAL,2,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,29,2.7,9,2.1,LB
20,David Ojabo,2,1,0,0,0,1.9,0,0,2022,22,BAL,2,0,0,0,0,,0,0,,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,21,1.9,8,1.9,LB
21,Segun Olubi,2,0,0,0,0,0,0,0,2022,23,IND,2,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,LB
22,Kevin Pierre-Louis,2,0,0,0,3,3.6,0,0,2022,31,HOU,2,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,,0,0,39.6,10,0,0,2,1,0,0,1,1,20,0,0,42,3.6,43,9.3,LB
23,Josh Ross,2,0,0,0,0,0,0,0,2022,23,BAL,2,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8.4,LB
24,Ray Wilborn,2,0,0,0,0,0,0,0,2022,25,DEN,2,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,31,6.5,LB
25,Olasunkanmi Adeniyi,3,0,0,0,0,5.9,0,0,2022,25,TEN,3,1,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,6,0,0,0,0,0,0,0,0,69,5.9,22,4.9,LB
26,Zayne Anderson,3,0,0,0,0,0,0,0,2022,25,KAN,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,48,10.4,LB
27,Jeremiah Attaochu,3,0,0,0,0,1,0,0,2022,29,"BAL,LAC",3,0,0,0,0,,0,0,,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,21,1,15,1.7,LB
28,Jamie Collins,3,0,0,0,1,3.6,0,0,2022,33,NWE,3,1,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,7,7,4,1,0,0,0,0,0,0,0,0,41,3.6,20,4.4,LB
29,Brandon Copeland,3,1,0,0,1,4.8,0,0,2022,31,BAL,3,0,0,0,0,,0,0,,0,0,0,1,2,3,5,1,1,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,1,1,6,1,1,0,0,2,2,28.6,0,0,52,4.8,5,1.2,LB
30,De'Shaan Dixon,3,0,0,0,0,0.3,0,0,2022,24,JAX,3,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,4,0.3,25,5.9,OLB
31,DeMarquis Gates,3,0,0,0,0,0.2,0,0,2022,26,CHI,3,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,2,0.2,35,8,LB
32,Ulysees Gilbert,3,0,0,0,0,0,0,0,2022,25,TAM,3,0,0,0,0,,0,0,,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,64,13.9,LB
33,Ladarius Hamilton,3,0,0,0,0,2.3,0,0,2022,24,GNB,3,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,1,0,0,1,0,0,0,0,24,2.3,26,6.1,LB
34,Devin Harper,3,0,0,0,0,0,0,0,2022,24,DAL,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,52,10.9,LB
35,Christian Jones,3,0,0,0,0,1.7,0,0,2022,31,SEA,3,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,2,0,0,0,0,0,0,0,0,20,1.7,40,8.6,LB
36,Vi Jones,3,0,0,0,0,0,0,0,2022,24,SEA,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,43,9.2,LB
37,Jonathan Kongbo,3,0,0,0,0,5.2,0,0,2022,26,DEN,3,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,60,5.2,33,6.9,LB
38,Shaquille Leonard,3,0,0,0,9,6.5,0,1,2022,27,IND,3,1,0,0,0,,0,0,,0,0,0,0,8,3,11,0,0,1,15,0,1,0,0,0,0,0,9,8,88.9,74,9.3,8.2,3,100.9,3.8,20,54,1,0,0,0,0,0,0,0,0,74,6.5,0,0,LB
39,Arron Mosby,3,0,0,0,1,0.2,0,0,2022,23,CAR,3,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,5,5,2,0,0,0,0,0,0,0,0,0,2,0.2,33,7,LB
40,Forrest Rhyne,3,0,0,0,0,0,0,0,2022,23,IND,3,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10.6,LB
41,Curtis Robinson,3,0,0,0,0,0,0,0,2022,24,SFO,3,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,36,8.2,LB
42,Quincy Roche,3,0,0,0,0,0.5,0,0,2022,24,NYG,3,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,6,0.5,28,5.9,LB
43,Luiji Vilain,3,0,0,0,0,2.9,0,0,2022,24,MIN,3,0,0,0,0,,0,0,,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,34,2.9,59,12,LB
44,Anthony Walker,3,0,0,0,8,10.9,0,0,2022,27,CLE,3,3,0,0,0,,0,0,,0,0,0,0,7,6,13,4,0,0,0,0,2,0,0,0,0,0,8,3,37.5,-8,-2.7,-1,0,45.8,1.9,-11,3,4,4,0,0,4,0,0,0,0,119,10.9,24,5.4,LB
45,Quinton Bell,4,0,0,0,0,5.4,0,0,2022,26,ATL,4,0,0,0,0,,0,0,,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,2,0,0,0,0,61,5.4,60,13.8,LB
46,Jarrad Davis,4,0.5,0,0,2,4.7,0,0,2022,28,"DET,NYG",4,1,0,0,0,,0,0,,0,0,0,0.5,7,7,14,1,1,0,0,0,1,0,0,0,0,0,2,1,50,33,33,16.5,0,95.8,17.5,28,5,4,1,0,1,2,0,0,0,0,106,4.7,28,3,LB
47,Trey Flowers,4,0,0,0,0,5.7,0,0,2022,29,MIA,4,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,65,5.7,3,0.7,LB
