,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
48,Nathan Gerry,4,0,0,0,0,0,0,0,2022,27,WAS,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,82,17.8,LB
49,Blake Martinez,4,0,0,0,6,9.3,0,0,2022,28,LVR,4,2,0,0,0,,0,0,,0,0,0,0,14,6,20,0,0,0,0,0,0,0,0,0,0,0,6,6,100,43,7.2,7.2,0,96.5,3.7,22,21,1,0,0,0,0,0,0,0,0,105,9.3,10,2.2,LB
50,Reggie Ragland,4,0,0,0,1,6.2,0,0,2022,29,CLE,4,2,0,0,0,,0,0,,0,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,1,0,0,0,0,0,0,0,0,0,0,0,68,6.2,1,0.2,LB
51,Wyatt Ray,4,0,0,0,1,2.4,0,0,2022,26,"DEN,TEN",4,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,100,3,3,3,0,79.2,-4,-4,7,0,0,0,0,0,0,0,0,0,55,2.4,67,7.2,LB
52,Mark Robinson,4,0,0,0,2,4.1,0,0,2022,23,PIT,4,2,0,0,0,,0,0,,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,2,2,100,33,16.5,16.5,0,118.7,6.5,13,20,1,0,0,0,0,0,0,0,0,44,4.1,16,3.7,LB
53,Nephi Sewell,4,0,0,0,0,0.1,0,0,2022,24,NOR,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,1,0.1,53,11.9,LB
54,Nick Vigil,4,0,0,0,11,7.6,0,0,2022,29,ARI,4,2,0,0,0,,0,0,,0,0,0,0,7,6,13,1,0,0,0,0,1,0,0,0,0,0,11,8,72.7,97,12.1,8.8,0,99.4,7.3,54,43,3,0,0,0,0,4,23.5,0,0,84,7.6,29,6.4,LB
55,Kenny Young,4,0,0,0,0,0,0,0,2022,28,TAM,4,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15.2,LB
56,Ryan Anderson,5,0,0,0,0,2.6,0,0,2022,28,PIT,5,0,0,0,0,,0,0,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,28,2.6,0,0,LB
57,Tarell Basham,5,0,0,0,0,11.9,0,0,2022,28,TEN,5,0,0,0,0,,0,0,,0,0,0,0,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,2,2,0,0,2,0,0,0,0,139,11.9,21,4.7,OLB
58,Tae Davis,5,0,0,0,0,0,0,0,2022,26,CLE,5,0,0,0,0,,0,0,,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16,LB
59,Tipa Galeai,5,0,0,0,0,0,0,0,2022,25,GNB,5,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,85,19.9,LB
60,Jack Gibbens,5,0,0,0,12,18.4,0,1,2022,24,TEN,5,2,0,0,0,,0,0,,0,0,0,0,16,12,28,0,0,1,7,0,1,0,0,0,0,0,12,9,75,76,8.4,6.3,0,56.2,4,16,60,6,0,0,0,0,1,3.4,0,0,215,18.4,88,19.6,LB
61,De'Jon Harris,5,0,0,0,0,0,0,0,2022,25,WAS,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,90,19.5,LB
62,Aaron Patrick,5,0,0,0,0,0.2,0,0,2022,26,DEN,5,0,0,0,0,,0,0,,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,2,0.2,102,21.3,LB
63,Jon Rhattigan,5,0,0,0,0,0,0,0,2022,23,SEA,5,0,0,0,0,,0,0,,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,96,20.6,LB
64,Andre Smith,5,0,0,0,0,0,0,0,2022,25,TEN,5,0,0,0,0,,0,0,,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,81,18.1,LB
65,Elerson Smith,5,0,0,0,0,1.2,0,0,2022,24,NYG,5,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,14,1.2,51,10.8,LB
66,Dakota Allen,6,0,0,0,0,0,0,0,2022,27,"CLE,DEN",6,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,9.5,LB
67,Krys Barnes,6,1,0,0,9,13.6,0,0,2022,24,GNB,6,1,0,0,0,,0,0,,0,0,0,1,17,12,29,0,1,0,0,0,0,0,0,0,0,0,9,7,77.8,51,7.3,5.7,1,127.3,3.1,38,13,1,0,0,0,1,2,6.5,0,0,141,13.6,25,5.8,LB
68,Austin Calitro,6,0,0,0,3,2.7,0,0,2022,28,"NYG,LVR",6,2,0,0,0,,0,0,,0,0,0,0,4,4,8,2,0,0,0,0,0,0,0,0,0,0,3,3,100,28,9.3,9.3,1,145.1,7,21,7,2,0,0,0,0,0,0,0,0,62,2.7,23,2.5,LB
69,Zach Cunningham,6,0,0,0,19,17.6,0,0,2022,28,TEN,6,6,0,0,0,,0,0,,0,0,0,0,15,9,24,0,0,0,0,0,1,0,0,0,0,0,19,12,63.2,109,9.1,5.7,1,96.2,3.6,28,81,7,0,0,1,0,1,4,0,0,205,17.6,11,2.5,RILB
70,Christian Elliss,6,0,0,0,2,2,0,0,2022,23,PHI,6,0,0,0,0,,0,0,,0,0,0,0,9,2,11,0,0,0,0,0,0,0,0,0,0,0,2,1,50,10,10,5,0,64.6,6.5,9,1,0,0,0,0,0,1,8.3,0,0,22,2,106,23.4,LB
71,Daniel Hardy,6,0,0,0,0,3.8,0,0,2022,24,LAR,6,0,0,0,0,,0,0,,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,2,0,0,0,0,0,0,0,0,41,3.8,128,28.8,LB
72,William Kwenkeu,6,0,0,0,0,1.1,0,0,2022,25,MIN,6,0,0,0,0,,0,0,,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,13,1.1,94,19.1,LB
73,J.J. Russell,6,0,0,0,1,4,0,0,2022,24,TAM,6,0,0,0,0,,0,0,,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,5,5,6,0,0,0,0,0,0,0,0,0,45,4,147,32,LB
74,Joe Schobert,6,0,0,0,6,10.4,0,0,2022,29,TEN,6,1,0,0,0,,0,0,,0,0,0,0,12,4,16,0,0,0,0,0,0,0,0,0,0,1,6,6,100,87,14.5,14.5,0,118.7,6.2,37,50,2,1,0,0,1,3,15.8,0,0,122,10.4,34,7.6,LB
75,Baylon Spector,6,0,0,0,5,1.1,0,0,2022,24,BUF,6,0,0,0,0,,0,0,,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,5,4,80,26,6.5,5.2,0,88.3,3.8,18,8,0,0,0,0,0,1,14.3,0,0,12,1.1,86,21,LB
76,Ty Summers,6,0,0,0,0,0,0,0,2022,27,"JAX,NOR",6,0,0,0,0,,0,0,,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,105,12.1,LB
77,Josh Bynes,7,1,0,0,14,24.8,0,1,2022,33,BAL,7,7,0,0,0,,0,0,,0,0,0,1,19,10,29,2,1,1,0,0,2,0,0,0,0,0,14,8,57.1,77,9.6,5.5,1,66.7,2.4,10,67,13,1,0,0,2,1,3.3,0,0,271,24.8,0,0,MLB
78,Jermaine Carter Jr.,7,0,0,0,1,8.5,0,0,2022,27,CLE,7,1,0,0,0,,0,0,,0,0,0,0,8,8,16,0,1,0,0,0,0,0,0,0,0,0,1,1,100,3,3,3,0,79.2,-2,-2,5,4,0,1,0,1,0,0,0,0,93,8.5,124,27.9,LB
79,Cole Holcomb,7,0,0,0,22,42.7,0,0,2022,26,WAS,7,7,0,0,0,,0,0,,0,0,0,0,37,32,69,1,1,0,0,0,1,0,0,0,0,0,22,16,72.7,172,10.8,7.8,2,125.6,5,82,90,24,0,1,0,1,4,5.5,0,0,446,42.7,0,0,MLB
80,James Houston,7,8,0,0,0,12.3,0,0,2022,24,DET,7,2,0,0,0,,0,0,,0,0,0,8,11,1,12,7,11,0,0,0,0,0,1,0,0,1,0,0,,0,,,0,,,0,0,10,2,3,0,13,0,0,0,0,140,12.3,71,15.7,LB
81,Joel Iyiegbuniwe,7,0,0,0,0,0,0,0,2022,27,CAR,7,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,121,25.7,LB
82,Devon Kennard,7,0,0,0,7,5.8,0,0,2022,31,"ARI,BAL",7,2,0,0,0,,0,0,,0,0,0,0,5,2,7,1,1,0,0,0,0,0,0,0,0,0,7,7,100,68,9.7,9.7,1,146.7,-0.1,-1,69,9,2,1,0,3,0,0,0,0,128,5.8,0,0,LB
83,Nathan Landman,7,0,0,0,0,2,0,0,2022,24,ATL,7,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,22,2,67,15.4,LB
84,Harvey Langi,7,0,0,0,8,1.7,0,0,2022,30,"DEN,NWE,LVR",7,2,0,0,0,,0,0,,0,0,0,0,10,2,12,0,1,0,0,0,0,0,0,0,0,0,8,6,75,49,8.2,6.1,0,90.1,2.6,21,28,2,0,1,0,1,0,0,0,0,57,1.7,101,7.3,LB
85,Jesse Luketa,7,0,0,0,1,4.2,0,0,2022,23,ARI,7,0,0,0,0,,0,0,,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,0,0,0,2,0,0,0,0,1,25,0,0,47,4.2,82,18,LB
86,Hamsah Nasirildeen,7,0,0,0,1,0.6,0,0,2022,23,NYJ,7,0,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,11,11,0,0,0,0,0,0,0,0,0,0,7,0.6,112,24.3,LB
87,Jacob Phillips,7,2,0,0,21,29.4,0,0,2022,23,CLE,7,4,0,0,0,,0,0,,0,0,0,2,29,17,46,2,2,0,0,0,1,0,0,0,0,0,21,15,71.4,168,11.2,8,0,94.9,4.2,51,117,7,1,1,0,4,1,2.1,0,0,320,29.4,40,9,LB
88,Shaquil Barrett,8,3,0,0,5,34.1,0,0,2022,30,TAM,8,8,0,0,0,,0,0,,0,0,0,3,20,11,31,6,6,0,0,0,0,0,0,0,0,1,5,5,100,36,7.2,7.2,0,96.7,1.4,7,29,14,8,5,0,16,0,0,0,0,382,34.1,9,2,ROLB
89,Jayon Brown,8,0,0,0,34,37.7,0,0,2022,27,LVR,8,6,0,0,0,,0,0,,0,0,0,0,29,16,45,0,1,0,0,0,1,0,1,0,0,0,34,29,85.3,311,10.7,9.1,0,104.8,4.5,117,194,9,0,1,1,1,2,4.3,0,0,425,37.7,14,3.1,LB
90,Jason Cabinda,8,0,0,0,0,0,0,0,2022,26,DET,8,2,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,104,9.1,0,0,93,20.6,LB
91,Divine Deablo,8,0,0,0,36,41.2,0,0,2022,24,LVR,8,8,0,0,0,,0,0,,0,0,0,0,38,36,74,1,0,0,0,0,1,0,0,0,0,0,36,30,83.3,252,8.4,7,3,123.6,4.1,128,124,22,0,0,1,0,3,3.9,0,0,464,41.2,42,9.3,LLB
92,Elijah Lee,8,0,0,0,1,0.4,0,0,2022,26,"CHI,KAN",8,0,0,0,0,,0,0,,0,0,0,0,5,3,8,0,0,0,0,0,0,0,1,0,0,0,1,1,100,22,22,22,0,118.7,-5,-5,27,0,0,0,0,0,1,11.1,0,0,8,0.4,180,20.1,LB
93,Keir Thomas,8,0,0,0,0,6.5,0,0,2022,24,LAR,8,0,0,0,0,,0,0,,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,1,20,0,0,71,6.5,69,15.5,LB
94,Genard Avery,9,1,0,0,1,6.4,0,0,2022,27,TAM,9,0,0,0,0,,0,0,,0,0,0,1,5,0,5,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,7,0,0,3,0,4,0,5,0,0,0,0,72,6.4,164,35.7,LB
